,English text,Welsh text,Comments
Adjustment Yes/No,,,
Caption,Adjust a previous return,Addasu Datganiad blaenorol,
Title/H1,Declare adjustments from earlier returns,Datgan addasiadau o Ddatganiadau cynharach,
P,You must tell us about changes from earlier returns including:,"Mae’n rhaid i chi roi gwybod i ni am newidiadau o Ddatganiadau cynharach, gan gynnwys:",
List item,under-declared alcoholic products,cynhyrchion alcoholaidd a danddatganwyd,
List item,over-declared alcoholic products,cynhyrchion alcoholaidd a orddatganwyd,
P,You may be required to explain why these were under or over-declared.,Efallai y bydd angen i chi egluro pam cafodd y rhain eu tanddatgan neu eu gorddatgan.,
P,You can also tell us about alcoholic products declared in earlier returns that have then:,"Gallwch hefyd roi gwybod i ni am gynhyrchion alcoholaidd a ddatganwyd mewn Datganiadau cynharach, ac sydd – ers hynny – wedi:",
List item,become spoilt and no longer fit to be consumed,"cael eu difetha, ac nad ydynt felly’n addas i’w bwyta/yfed mwyach",
List item,been repackaged and are no longer eligible for a reduced rate (draught relief),"cael eu hailbecynnu, ac nad ydynt yn gymwys mwyach ar gyfer cyfradd is (Rhyddhad ar Gynhyrchion o’r Gasgen)",
List item,been exported,cael eu hallforio,
Heading 2,Do you have adjustments to declare?,A oes gennych addasiadau i’w datgan?,
Radio button,Yes,Iawn,
Radio button,No,Na,
Button,Save and continue,Cadw a pharhau,
Validation,Select yes if you have adjustments to declare,Dewiswch ‘Iawn’ os oes gennych addasiadau i’w datgan,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
Adjustment Type,,,
Title/H1,What type of adjustment are you declaring?,Pa fath o addasiad rydych chi’n ei ddatgan?,
Radio button,Spoilt,Alcohol wedi’i ddifetha,
Hint,You have paid duty on alcohol and it is now spoilt and cannot be consumed.,Rydych chi wedi talu toll ar alcohol ac mae bellach wedi’i ddifetha ac ni ellir ei fwyta/yfed.,
Radio button,Under-declaration,Tanddatganiad,
Hint,You under-declared alcohol on a previous return and have not paid enough duty.,Gwnaethoch chi danddatgan alcohol ar Ddatganiad blaenorol ac nid ydych chi wedi talu digon o doll.,
Radio button,Over-declaration,Gorddatganiad,
Hint,You over-declared alcohol on a previous return and paid too much duty.,Gwnaethoch chi orddatgan alcohol ar Ddatganiad blaenorol a thalu gormod o doll.,
Radio button,Repackaged draught products,Cynhyrchion o’r gasgen wedi’u hailbecynnu,
Hint,You have paid duty on alcohol at the reduced rate (draught relief) and have now repackaged it so it is no longer eligible for the reduced rate.,"Rydych chi wedi talu toll ar alcohol ar y gyfradd is (Rhyddhad ar Gynhyrchion o’r Gasgen) ac rydych chi bellach wedi’i ailbecynnu, felly nid yw’n gymwys mwyach ar gyfer y gyfradd is.",
Radio button,Drawback,Ad-daliad,
Hint,You exported alcohol you already paid duty on in an earlier return. You need an approved 'notice of intention to claim drawback' (NOI) before you tell us about it.,"Gwnaethoch chi allforio alcohol roeddech chi eisoes wedi talu toll arno mewn Datganiad cynharach. Mae angen arnoch ‘hysbysiad o fwriad i hawlio ad-daliad’ cymeradwy, cyn i chi roi gwybod i ni amdano.",
Validation,Select the type of adjustment,Dewiswch y math o addasiad,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
Spoilt Type,,,
Title/H1,Which alcoholic product is spoilt?,Pa gynnyrch alcoholaidd sydd wedi’i ddifetha?,
P,Choose a type of alcoholic product to declare. You will be able to declare others afterwards.,Dewiswch fath o gynnyrch alcoholaidd i’w ddatgan. Byddwch chi’n gallu datgan cynhyrchion eraill wedyn.,
Radio button,Beer,Cwrw,
Radio button,Cider,Seidr,
Radio button,Wine,Gwin,
Radio button,Spirits,Gwirodydd,
Radio button,Other fermented products,Cynhyrchion eplesedig eraill,
Validation,Select the type of alcoholic product you are declaring spoilt,Dewiswch y math o gynnyrch alcoholaidd rydych chi’n datgan ei fod wedi’i ddifetha,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
Spoilt Volume,,,
Caption,Adjust for spoilt alcohol,Addasu ar gyfer alcohol wedi’i ddifetha,
Title/H1,Tell us about your spoilt beer,Rhoi gwybod i ni am eich cwrw wedi’i ddifetha,
Label,Total litres of spoilt beer,Cyfanswm y litrau o gwrw wedi’i ddifetha,
Title/H1,Tell us about your spoilt cider,Rhoi gwybod i ni am eich seidr wedi’i ddifetha,
Label,Total litres of spoilt cider,Cyfanswm y litrau o seidr wedi’i ddifetha,
Title/H1,Tell us about your spoilt wine,Rhoi gwybod i ni am eich gwin wedi’i ddifetha,
Label,Total litres of spoilt wine,Cyfanswm y litrau o win wedi’i ddifetha,
Title/H1,Tell us about your spoilt spirits,Rhoi gwybod i ni am eich gwirodydd wedi’u difetha,
Label,Total litres of spoilt spirits,Cyfanswm y litrau o wirodydd wedi’u difetha,
Title/H1,Tell us about your spoilt other fermented products,Rhoi gwybod i ni am eich cynhyrchion eplesedig eraill wedi’u difetha,
Label,Total litres of spoilt other fermented products,Cyfanswm y litrau o gynhyrchion eplesedig eraill wedi’u difetha,
Hint,To 2 decimal places,Dylid nodi 2 le degol,
Label,Litres of pure alcohol,Litrau o alcohol pur,
Hint,To 4 decimal places,Dylid nodi 4 lle degol,
Label,How much duty was paid?,Faint o doll a dalwyd?,
Hint,Include pounds and pence,Dylech gynnwys punnoedd a cheiniogau,
Validation,Enter the total litres of spoilt [beer],Nodwch gyfanswm y litrau o [gwrw] wedi’i ddifetha,
Validation,Enter the litres of pure alcohol in spoilt [beer],Nodwch y litrau o alcohol pur sydd yn y [cwrw] wedi’i ddifetha,
Validation,Litres of spoilt [beer] must be more than 0.00,Mae’n rhaid i’r litrau o [gwrw] wedi’i ddifetha fod yn fwy na 0.00,
Validation,Litres of spoilt [beer] must be less than 1 billion,Mae’n rhaid i’r litrau o [gwrw] wedi’i ddifetha fod yn llai nag 1 biliwn,
Validation,Litres of spoilt [beer] must be a number to 2 decimal places,Mae’n rhaid i’r litrau o [gwrw] wedi’i ddifetha fod yn rhif sy’n cynnwys 2 le degol,
Validation,Enter the total litres of spoilt [cider],Nodwch gyfanswm y litrau o [seidr] wedi’i ddifetha,
Validation,Enter the litres of pure alcohol in spoilt [cider],Nodwch y litrau o alcohol pur sydd yn y [seidr] wedi’i ddifetha,
Validation,Litres of spoilt [cider] must be more than 0.00,Mae’n rhaid i’r litrau o [seidr] wedi’i ddifetha fod yn fwy na 0.00,
Validation,Litres of spoilt [cider] must be less than 1 billion,Mae’n rhaid i’r litrau o [seidr] wedi’i ddifetha fod yn llai nag 1 biliwn,
Validation,Litres of spoilt [cider] must be a number to 2 decimal places,Mae’n rhaid i’r litrau o [seidr] wedi’i ddifetha fod yn rhif sy’n cynnwys 2 le degol,
Validation,Enter the total litres of spoilt [wine],Nodwch gyfanswm y litrau o [win] wedi’i ddifetha,
Validation,Enter the litres of pure alcohol in spoilt [wine],Nodwch y litrau o alcohol pur sydd yn y [gwin] wedi’i ddifetha,
Validation,Litres of spoilt [wine] must be more than 0.00,Mae’n rhaid i’r litrau o [win] wedi’i ddifetha fod yn fwy na 0.00,
Validation,Litres of spoilt [wine] must be less than 1 billion,Mae’n rhaid i’r litrau o [win] wedi’i ddifetha fod yn llai nag 1 biliwn,
Validation,Litres of spoilt [wine] must be a number to 2 decimal places,Mae’n rhaid i’r litrau o [win] wedi’i ddifetha fod yn rhif sy’n cynnwys 2 le degol,
Validation,Enter the total litres of spoilt [spirits],Nodwch gyfanswm y litrau o [wirodydd] wedi’u difetha,
Validation,Enter the litres of pure alcohol in spoilt [spirits],Nodwch y litrau o alcohol pur sydd yn y [gwirodydd] wedi’u difetha,
Validation,Litres of spoilt [spirits] must be more than 0.00,Mae’n rhaid i’r litrau o [wirodydd] wedi’u difetha fod yn fwy na 0.00,
Validation,Litres of spoilt [spirits] must be less than 1 billion,Mae’n rhaid i’r litrau o [wirodydd] wedi’u difetha fod yn llai nag 1 biliwn,
Validation,Litres of spoilt [spirits] must be a number to 2 decimal places,Mae’n rhaid i’r litrau o [wirodydd] wedi’u difetha fod yn rhif sy’n cynnwys 2 le degol,
Validation,Enter the total litres of spoilt [other fermented products],Nodwch gyfanswm y litrau o [gynhyrchion eplesedig eraill] wedi’u difetha,
Validation,Enter the litres of pure alcohol in spoilt [other fermented products],Nodwch y litrau o alcohol pur sydd yn y [cynhyrchion eplesedig eraill] wedi’u difetha,
Validation,Litres of spoilt [other fermented products] must be more than 0.00,Mae’n rhaid i’r litrau o [gynhyrchion eplesedig eraill] wedi’u difetha fod yn fwy na 0.00,
Validation,Litres of spoilt [other fermented products] must be less than 1 billion,Mae’n rhaid i’r litrau o [gynhyrchion eplesedig eraill] wedi’u difetha fod yn llai nag 1 biliwn,
Validation,Litres of spoilt [other fermented products] must be a number to 2 decimal places,Mae’n rhaid i’r litrau o [gynhyrchion eplesedig eraill] wedi’u difetha fod yn rhif sy’n cynnwys 2 le degol,
Validation,Enter the litres of pure alcohol in spoilt [beer],Nodwch y litrau o alcohol pur sydd yn y [cwrw] wedi’i ddifetha,
Validation,Enter the litres of pure alcohol in spoilt [cider],Nodwch y litrau o alcohol pur sydd yn y [seidr] wedi’i ddifetha,
Validation,Enter the litres of pure alcohol in spoilt [wine],Nodwch y litrau o alcohol pur sydd yn y [gwin] wedi’i ddifetha,
Validation,Enter the total litres of spoilt [spirits],Nodwch gyfanswm y litrau o [wirodydd] wedi’u difetha,
Validation,Enter the total litres of spoilt [other fermented products],Nodwch gyfanswm y litrau o [gynhyrchion eplesedig eraill] wedi’u difetha,
Validation,Litres of pure alcohol must be a number	,Mae’n rhaid i’r litrau o alcohol pur fod yn rhif,
Validation,Litres of pure alcohol must be less than 1 billion,Mae’n rhaid i’r litrau o alcohol pur fod yn llai nag 1 biliwn,
Validation,Litres of pure alcohol must be more than 0.0000	,Mae’n rhaid i’r litrau o alcohol pur fod yn fwy na 0.0000,
Validation,Litres of pure alcohol must be a number up to 4 decimal places,Mae’n rhaid i’r litrau o alcohol pur fod yn rhif sy’n cynnwys 4 lle degol,"Thanks for the call, Del. As discussed, I've translated ""to 4"" instead of ""up to 4"" for this row, because it deals with Litres of pure alcohol."
Validation,Litres of pure alcohol must be the same or less than the litres of [beer]	,Mae’n rhaid i’r litrau o alcohol pur fod yr un peth â’r litrau o [gwrw] neu’n llai na hynny,
Validation,Litres of pure alcohol must be the same or less than the litres of [cider]	,Mae’n rhaid i’r litrau o alcohol pur fod yr un peth â’r litrau o [seidr] neu’n llai na hynny,
Validation,Litres of pure alcohol must be the same or less than the litres of [wine]	,Mae’n rhaid i’r litrau o alcohol pur fod yr un peth â’r litrau o [win] neu’n llai na hynny,
Validation,Litres of pure alcohol must be the same or less than the litres of [spirits]	,Mae’n rhaid i’r litrau o alcohol pur fod yr un peth â’r litrau o [wirodydd] neu’n llai na hynny,
Validation,Litres of pure alcohol must be the same or less than the litres of [other fermented products]	,Mae’n rhaid i’r litrau o alcohol pur fod yr un peth â’r litrau o [gynhyrchion eplesedig eraill] neu’n llai na hynny,
Validation,Enter the amount of duty paid,Nodwch swm y doll a dalwyd,
Validation,The amount of duty paid must be a number,Mae’n rhaid i swm y doll a dalwyd fod yn rhif,
Validation,The amount of duty paid must be less than £100 billion,Mae’n rhaid i swm y doll a dalwyd fod yn llai na £100 biliwn,
Validation,The amount of duty paid must be more than £0.00	,Mae’n rhaid i swm y doll a dalwyd fod yn fwy na £0.00 ,
Validation,The amount of duty paid must include pounds and pence	,Mae’n rhaid i swm y doll a dalwyd gynnwys punnoedd a cheiniogau,
,,,
Adjustment date,,,
Caption,Adjust for under-declared alcohol,Addasu ar gyfer alcohol a danddatganwyd,
Caption,Adjust for over-declared alcohol,Addasu ar gyfer alcohol a orddatganwyd,
Caption,Adjust for repackaged draught products,Addasu ar gyfer cynhyrchion o’r gasgen wedi’u hailbecynnu,
Caption,Adjust for duty drawback,Addasu ar gyfer ad-dalu toll,
Title/H1,When should you have paid duty?,Pryd dylech chi fod wedi talu toll?,
Title/H1,When did you pay duty on this?,Pryd gwnaethoch chi dalu toll ar hyn?,
Link/P,Call or contact HMRC by post (opens in new tab) if this was originally declared before August 2023.,Ffoniwch CThEF neu cysylltwch â CThEF drwy’r post (yn agor tab newydd) os cyhoeddwyd hyn yn wreiddiol cyn mis Awst 2023.,"Please let us know what URL will be used in the English version, and we can provide the equivalent Welsh URL. Thank you!"
Hint,"For example, 10 2024","Er enghraifft, 10 2024",
Label,Month,Mis,
Label,Year,Blwyddyn,
Validation,Enter the date you paid duty,Nodwch y dyddiad y gwnaethoch dalu toll,
Validation,The date you paid duty must include a month,Mae’n rhaid i’r dyddiad y gwnaethoch dalu toll gynnwys mis,
Validation,The date you paid duty must include a year,Mae’n rhaid i’r dyddiad y gwnaethoch dalu toll gynnwys blwyddyn,
Validation,Year must include 4 numbers,Mae’n rhaid i’r flwyddyn gynnwys 4 rhif,
Validation,The date you paid duty must be a real date using numbers,Mae’n rhaid i’r dyddiad y gwnaethoch dalu toll fod yn ddyddiad go iawn gan ddefnyddio rhifau,
Validation,The date you paid duty must use numbers,Mae’n rhaid i’r dyddiad y gwnaethoch dalu toll ddefnyddio rhifau,
Validation,The date you paid duty must be in the past,Mae’n rhaid i’r dyddiad y gwnaethoch dalu toll fod yn y gorffennol,
Validation,The date you paid duty must be after July 2023,Mae’n rhaid i’r dyddiad y gwnaethoch dalu toll fod ar ôl mis Gorffennaf 2023,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
Adjustment tax type code,,,
