,English text,Welsh text,Comments
View returns,,,
Title/H1,Your returns,Eich Datganiadau,
H2,Outstanding returns,Datganiadau sydd heb eu cyflwyno,
Column heading,Period,Cyfnod,
Column heading,Status,Statws,
Column heading,Action,Camau,
Status,Due,Yn ddyledus,
Status,Overdue,Yn hwyr,
Link,Submit return[ Submit month year Return],Cyflwyno Datganiad[ Cyflwyno Datganiad month year],
Link,Complete return[ for month year],Cwblhau Datganiad[ ar gyfer month year],
H2,Completed returns,Datganiadau wedi’u cwblhau,
Link,View return[ View month year Return],Gweld Datganiad[ Gweld Datganiad month year],
Link,View return[ for month year],Gweld Datganiad[ ar gyfer month year],
Status,Completed,Wedi cwblhau,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
View your return,,,
Title/H1,[Month Year] Alcohol Duty Return,Datganiad Toll Alcohol ar gyfer [Month Year],
P,Reference: ,Cyfeirnod:,
P,Submitted on [Day Month Year] at [hours:minutes am/pm],Cyflwynwyd ar [Day Month Year] am [hours:minutes am/pm],
H2,Alcohol declared,Alcohol wedi’i ddatgan,
Column heading,Description,Disgrifiad,
Column heading,Litres of pure alcohol (LPA),Litrau o alcohol pur (LPA),
Column heading,Duty rate (per litre),Cyfradd doll (fesul litr),
Column heading,Duty value,Gwerth y doll,
Row heading,Total declared duty value,Cyfanswm gwerth y doll a ddatganwyd,
H2,Adjustments declared,Addasiadau a ddatganwyd,
Column heading,Adjustment,Addasiad,
Row heading,Total adjustments duty value,Cyfanswm yr addasiadau a ddatganwyd,
H2,Total,Cyfanswm,
Row heading,Total duty value,Cyfanswm gwerth y doll,
H2,Duty suspended deliveries,Dosbarthiadau y gohiriwyd tollau arnynt,
Row heading,Total volume (litres),Cyfanswm y cyfaint (litrau),
H2,Spirits production in the last 3 months,Gwirodydd a gynhyrchwyd yn ystod y 3 mis diwethaf,
Table item,Total volume of spirits,Cyfanswm cyfaint y gwirodydd,
Table item,Scotch Whisky,Wisgi Albanaidd,
Table item,Irish Whiskey,Wisgi Gwyddelig,
Row heading,Types of spirits produced,Mathau o wirodydd a gynhyrchwyd,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
View payments,,,
Title/H1,Alcohol Duty payments,Taliadau Toll Alcohol,
H2,You owe [£ balance],Mae arnoch [£ balance],
P,"Payments take up to 7 working days to show, depending on how you pay. After you complete your return your tax calculation will take up to 2 days.","Bydd yn cymryd hyd at 7 diwrnod gwaith i daliadau ymddangos, yn dibynnu ar sut rydych yn talu. Ar ôl i chi gwblhau’ch Datganiad, bydd eich cyfrifiad treth yn cymryd hyd at 2 ddiwrnod.",
H2,Outstanding payments,Taliadau sy’n ddyledus,
Column heading,To be paid by,I’w dalu erbyn,
Column heading,Description,Disgrifiad,
Column heading,Left to pay,Yn weddill i’w dalu,
Column heading,Status,Statws,
Column heading,Action,Camau,
Table cell,Payment for Alcohol Duty return (ref: ),Taliad ar gyfer Datganiad Toll Alcohol (cyf: ),
Table cell,Late payment interest charge (ref: ),Llog am dalu’n hwyr (cyf: ),
Table cell,Credit for Alcohol Duty return (ref: ),Credyd ar gyfer Datganiad Toll Alcohol (cyf: ),
Table cell,Refund payment interest charge (ref: ),Llog ar ad-daliad (cyf: ),"We've interpreted this as ""interest charge on a refund payment"" but please let us know if the meaning should be ""refund of an interest charge"" and we'll update the translation."
Status,Due,Yn ddyledus,
Status,Overdue,Yn hwyr,
Status,Nothing to pay,Dim byd i’w dalu,
Link,Pay now,Talu nawr,
H2,Unallocated payments,Taliadau heb eu dyrannu,
Column heading,Payment date,Dyddiad talu,
Column heading,Amount,Swm,
Table cell,Payment,Taliad,
P,An unallocated payment is when you have overpaid or made a payment without a reference so it hasn’t been allocated to a specific return. Unallocated payments will be used to pay any due or overdue payments.,"Os byddwch yn gordalu neu’n gwneud taliad heb gyfeirnod, ni ellir dyrannu’r taliad i Ddatganiad penodol. Yr enw ar hyn yw ‘Taliad heb ei ddyrannu’, felly. Bydd taliadau heb eu dyrannu yn cael eu defnyddio i dalu unrhyw daliadau sy’n ddyledus neu’n hwyr.",
H2,Cleared payments in [year],Taliadau wedi’u clirio yn ystod [year],
Column heading,Return period,Cyfnod y datganiad,
Table cell,Cleared late payment interest charge payments (ref: ),Taliadau llog am dalu’n hwyr sydd wedi’u clirio (cyf: ),
Table cell,Cleared Alcohol Duty payments,Taliadau Toll Alcohol sydd wedi’u clirio,
P,Cleared payments are those where monies have been received by HMRC or an existing credit balance has been used to pay any applicable duty.,"Mae ‘Taliadau wedi’u clirio’ yn golygu achosion pan fo arian wedi dod i law CThEF, neu pan fo balans credyd presennol wedi’i ddefnyddio i dalu unrhyw doll berthnasol.",
