,English text,Welsh text,Comments
Duty suspended Yes/No,,,
Title/H1,Have you delivered or received any duty suspended finished alcoholic product?,A ydych chi wedi dosbarthu neu dderbyn unrhyw gynnyrch alcoholaidd gorffenedig y gohiriwyd tollau arno?,
P,You need to tell us if you delivered finished alcoholic product to a duty suspended warehouse or received finished alcoholic product in duty suspense.,"Mae angen i chi roi gwybod i ni a wnaethoch ddosbarthu cynnyrch alcoholaidd gorffenedig i warws lle mae tollau wedi’u gohirio, neu a wnaethoch dderbyn cynnyrch alcoholaidd gorffenedig o dan ohiriad tollau.",
Radio button,Yes,Iawn,
Radio button,No,Na,
Button,Save and continue,Cadw a pharhau,
Validation,Select yes if you need to tell us about any duty suspended alcohol,Dewiswch ‘Iawn’ os oes angen i chi roi gwybod i ni am unrhyw alcohol y gohiriwyd tollau arno,
Validation,Select yes if you delivered or received any duty suspended finished alcoholic product,Dewiswch ‘Iawn’ os gwnaethoch ddosbarthu neu dderbyn unrhyw gynnyrch alcoholaidd gorffenedig y gohiriwyd tollau arno,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
Calculate duty suspended alcohol,,,
Caption,Duty suspended finished alcoholic product deliveries,Dosbarthiadau o gynhyrchion alcoholaidd gorffenedig y gohiriwyd tollau arnynt,
H1,Calculate the volume of duty suspended finished alcoholic products,Cyfrifwch gyfaint y cynhyrchion alcoholaidd gorffenedig y gohiriwyd tollau arnynt,
P,For each type of alcohol you produce you need to tell us the volume of finished alcoholic products and the volume of pure alcohol in those finished alcoholic products.,"Ar gyfer pob math o alcohol rydych chi’n ei gynhyrchu, mae angen i chi roi gwybod i ni beth yw cyfaint y cynhyrchion alcoholaidd gorffenedig a faint o alcohol pur sydd yn y cynhyrchion alcoholaidd gorffenedig hynny.",
Numbered list item,Add together:,Bydd angen adio’r canlynol at ei gilydd:,
List item,"litres exported outside the UK (for example, ship stores)","litrau a allforiwyd i’r tu allan i’r DU (er enghraifft, storfeydd nwyddau llongau)",
List item,litres delivered duty suspended to other UK registered premises and excise warehouses,"litrau y gohiriwyd tollau arnynt, a ddosbarthwyd i warysau ecséis a safleoedd cofrestredig eraill yn y DU",
Numbered list item,Then subtract:,Yna tynnwch:,
List item,"litres received under duty suspense from registered premises, excise warehouses and importation","litrau o dan ohiriad tollau, a dderbyniwyd oddi wrth safleoedd cofrestredig, warysau ecséis a mewnforio",
P,Use the same method to calculate the litres of pure alcohol in your duty suspended finished alcoholic products.,Defnyddiwch yr un dull i gyfrifo’r litrau o alcohol pur sydd yn eich cynhyrchion alcoholaidd gorffenedig y gohiriwyd tollau arnynt.,
