,English text,Welsh text,Comments
Spirits production Yes/No,,,
Caption,Spirits produced in the past 3 months,Gwirodydd a gynhyrchwyd yn ystod y 3 mis diwethaf,
Title/H1,Tell us about the spirits you have produced from raw ingredients,Rhoi gwybod i ni am y gwirodydd rydych wedi’u cynhyrchu o gynhwysion amrwd,
P,You do not need to tell us about any alcoholic products produced from base alcohol made elsewhere (for example if you rectify or compound).,Nid oes angen i chi roi gwybod i ni am unrhyw gynhyrchion alcoholaidd a gynhyrchwyd o alcohol sylfaenol a wnaed rywle eraill (er enghraifft os ydych chi’n eu puro neu’n eu cymysgu).,
P,You do need to tell us if you have made:,Mae angen i chi roi gwybod i ni os ydych wedi gwneud:,
List item,malt spirits or grain spirits,gwirodydd brag neu wirodydd grawn,
List item,neutral spirits of agricultural or industrial origin,gwirodydd niwtral o darddiad amaethyddol neu ddiwydiannol,
List item,"spirits produced from beer, wine or made-wine or from cider or perry","gwirodydd sydd wedi’u cynhyrchu o gwrw, o win neu win a wnaed, neu o seidr neu berai",
List item,any other spirits made from raw ingredients,unrhyw wirodydd eraill sydd wedi’u gwneud o gynhwysion amrwd,
P,You will also need to tell us how much spirits you made in this period in total.,Bydd angen i chi hefyd roi gwybod i ni beth oedd cyfanswm y gwirodydd a wnaethoch yn ystod y cyfnod hwn.,
P,If you made Scotch whisky or Irish whiskey you will need to tell us how much.,"Os gwnaethoch wisgi Albanaidd neu wisgi Gwyddelig, bydd angen i chi roi gwybod i ni faint a wnaethoch.",
P,Your answers in this section will not change your duty calculation.,Ni fydd eich atebion yn yr adran hon yn newid eich cyfrifiad tollau.,
H2,Have you made any spirits from raw ingredients in the past 3 months?,A ydych chi wedi gwneud unrhyw wirodydd o gynhwysion amrwd yn ystod y 3 mis diwethaf?,
Radio button,Yes,Iawn,
Radio button,No,Na,
Button,Save and continue,Cadw a pharhau,
Validation,Select yes if you have made any spirits from raw ingredients in the past 3 months,Dewiswch ‘Iawn’ os ydych chi wedi gwneud unrhyw wirodydd o gynhwysion amrwd yn ystod y 3 mis diwethaf,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
Total spirits,,,
